query_type,query,total_results,negative_rating_count,precision
basic_query,adirondack chair,20,1,0.95
basic_query,area rug,20,0,1.0
basic_query,baitcast reel,20,0,1.0
basic_query,bathroom vanity,20,7,0.65
basic_query,blanket,20,3,0.85
basic_query,blanket personalization,20,0,1.0
basic_query,body hair removal blades,20,8,0.6
basic_query,body lotion,20,0,1.0
basic_query,body wash,20,1,0.95
basic_query,boxed book set,20,1,0.95
basic_query,brush pen,20,10,0.5
basic_query,building set,20,17,0.15
basic_query,canvas art,20,5,0.75
basic_query,Pet Supplements,20,0,1.0
basic_query,cellular shade,20,0,1.0
basic_query,chino pants,20,0,1.0
basic_query,Christmas bag,20,0,1.0
basic_query,console table,20,0,1.0
basic_query,cotton cushion,20,9,0.55
basic_query,cubic zirconia ring,20,0,1.0
basic_query,curtain set,20,0,1.0
basic_query,demi bra,20,0,1.0
basic_query,denim sneakers,20,0,1.0
basic_query,doll wardrobe,20,16,0.2
basic_query,down comforter,20,0,1.0
basic_query,duvet cover,20,0,1.0
basic_query,electric air duster,20,18,0.1
basic_query,electric cutter,20,18,0.1
basic_query,embroidery kit,20,12,0.4
basic_query,embroidery stickers,20,15,0.25
basic_query,eye patches,20,17,0.15
basic_query,fairway wood,20,0,1.0
basic_query,fly rod,20,3,0.85
basic_query,foundation cream,20,0,1.0
basic_query,gas tank refill,20,18,0.1
basic_query,women sweater,20,0,1.0
basic_query,glass beads,20,1,0.95
basic_query,golf balls,20,0,1.0
basic_query,golf headcover,20,17,0.15
basic_query,jeans,20,0,1.0
basic_query,jogger pants,20,0,1.0
basic_query,kid's t-shirt,20,4,0.8
basic_query,kneepad,20,6,0.7
basic_query,ladder,20,8,0.6
basic_query,leather sectional,20,0,1.0
basic_query,loveseat,20,0,1.0
basic_query,magnetic nut driver,20,15,0.25
basic_query,man shirt,20,0,1.0
basic_query,men’s eyeglasses,20,0,1.0
basic_query,men’s glasses,20,0,1.0
basic_query,men’s glasses,20,0,1.0
basic_query,men’s glasses,20,0,1.0
basic_query,metal pen,20,1,0.95
basic_query,nuts and bolts,20,11,0.45
basic_query,outdoor game,20,0,1.0
basic_query,dog harness,20,0,1.0
basic_query,pliers,20,2,0.9
basic_query,polishing machine,20,13,0.35
basic_query,polypropylene bag,20,0,1.0
basic_query,portable safe,20,18,0.1
basic_query,dog jacket,20,0,1.0
basic_query,ratchet wrench,20,1,0.95
basic_query,roses,20,6,0.7
basic_query,sheet set,20,0,1.0
basic_query,sling bag,20,0,1.0
basic_query,spinner lure,20,0,1.0
basic_query,sport team decal,20,0,1.0
basic_query,sunglasses,20,1,0.95
basic_query,tablecloth,20,0,1.0
basic_query,tissue holder,20,1,0.95
basic_query,torx keys,20,0,1.0
basic_query,toy car,20,1,0.95
basic_query,toy van,20,12,0.4
basic_query,toy weights,20,0,1.0
basic_query,tshirt decal,20,0,1.0
basic_query,tv stand,20,0,1.0
basic_query,twisting tool,20,19,0.05
basic_query,USB charger,20,1,0.95
basic_query,wall shelves,20,2,0.9
basic_query,white chair,20,2,0.9
basic_query,wicker chat set,20,3,0.85
basic_query,women’s glasses,20,0,1.0
basic_query,wooden puzzles,20,7,0.65
basic_query,wooden sign,20,0,1.0
basic_query,dog kong,20,0,1.0
basic_query,puppy mesh carrier,20,13,0.35
basic_query,bird stand,20,0,1.0
basic_query,reel line,20,0,1.0
basic_query,cat toy,20,0,1.0
basic_query,filter sponge,20,16,0.2
basic_query,pee mat,20,14,0.3
basic_query,kanteen mug,20,0,1.0
basic_query,candle wick trimmer,20,0,1.0
basic_query,computer desk,20,0,1.0
basic_query,sticky notes,20,0,1.0
basic_query,notebook,20,0,1.0
basic_query,rolling cart,20,0,1.0
basic_query,hanging calendar,20,0,1.0
basic_query,wrapping paper,20,0,1.0
basic_query,prank gifts,20,0,1.0
attribute_query,adirondack chair footrest solid,20,18,0.1
attribute_query,gray-ivory 4×6 area rug,20,15,0.25
attribute_query,Shimano Curado 200 XGM left-hand baitcast reel,20,16,0.2
attribute_query,bathroom vanity with 2 cabinet baskets,20,0,1.0
attribute_query,blanket for soft beds,20,0,1.0
